ticker,sector
EMAMILTD.NS,FAST_MOVING_CONSUMER_GOODS
EMAMIPAP.NS,UNKNOWN
EMAMIREAL.NS,UNKNOWN
EMBDL.NS,UNKNOWN
EMCURE.NS,HEALTHCARE
EMIL.NS,UNKNOWN
EMKAY.NS,UNKNOWN
EMMBI.NS,UNKNOWN
EMMVEE.NS,UNKNOWN
EMSLIMITED.NS,UNKNOWN
EMUDHRA.NS,UNKNOWN
ENDURANCE.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
ENERGYDEV.NS,UNKNOWN
ENGINERSIN.NS,CONSTRUCTION
ENIL.NS,UNKNOWN
ENRIN.NS,CAPITAL_GOODS
ENTERO.NS,UNKNOWN
EPACK.NS,UNKNOWN
EPACKPEB.NS,UNKNOWN
EPIGRAL.NS,UNKNOWN
EPL.NS,UNKNOWN
EQUIPPP.NS,UNKNOWN
EQUITASBNK.NS,UNKNOWN
ERIS.NS,HEALTHCARE
ESABINDIA.NS,UNKNOWN
ESAFSFB.NS,UNKNOWN
ESCORTS.NS,CAPITAL_GOODS
ESSARSHPNG.NS,UNKNOWN
ESSENTIA.NS,UNKNOWN
ESTER.NS,UNKNOWN
ETERNAL.NS,CONSUMER_SERVICES
ETHOSLTD.NS,UNKNOWN
EUREKAFORB.NS,UNKNOWN
EUROBOND.NS,UNKNOWN
EUROPRATIK.NS,UNKNOWN
EVEREADY.NS,UNKNOWN
EVERESTIND.NS,UNKNOWN
EXCEL.NS,UNKNOWN
EXCELINDUS.NS,UNKNOWN
EXICOM.NS,UNKNOWN
EXIDEIND.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
EXPLEOSOL.NS,UNKNOWN
EXXARO.NS,UNKNOWN
FABTECH.NS,UNKNOWN
FACT.NS,CHEMICALS
FAIRCHEMOR.NS,UNKNOWN
FAZE3Q.NS,UNKNOWN
FCL.NS,UNKNOWN
FCSSOFT.NS,UNKNOWN
FDC.NS,UNKNOWN
FEDERALBNK.NS,FINANCIAL_SERVICES
FEDFINA.NS,UNKNOWN
FEL.NS,UNKNOWN
FELDVR.NS,UNKNOWN
FIBERWEB.NS,UNKNOWN
FIEMIND.NS,UNKNOWN
FILATEX.NS,UNKNOWN
FILATFASH.NS,UNKNOWN
FINCABLES.NS,CAPITAL_GOODS
FINEORG.NS,UNKNOWN
FINKURVE.NS,UNKNOWN
FINOPB.NS,UNKNOWN
FINPIPE.NS,CAPITAL_GOODS
FIRSTCRY.NS,CONSUMER_SERVICES
FISCHER.NS,UNKNOWN
FIVESTAR.NS,FINANCIAL_SERVICES
FLAIR.NS,UNKNOWN
FLEXITUFF.NS,UNKNOWN
FLFL.NS,UNKNOWN
FLUOROCHEM.NS,CHEMICALS
FMGOETZE.NS,UNKNOWN
FMNL.NS,UNKNOWN
FOCUS.NS,UNKNOWN
FOODSIN.NS,UNKNOWN
FORCEMOT.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
FORTIS.NS,HEALTHCARE
FOSECOIND.NS,UNKNOWN
FSL.NS,SERVICES
FUSION.NS,UNKNOWN
GABRIEL.NS,UNKNOWN
GAEL.NS,UNKNOWN
GAIL.NS,OIL_GAS_AND_CONSUMABLE_FUELS
GALAPREC.NS,UNKNOWN
GALAXYSURF.NS,UNKNOWN
GALLANTT.NS,UNKNOWN
GANDHAR.NS,UNKNOWN
GANDHITUBE.NS,UNKNOWN
GANECOS.NS,UNKNOWN
GANESHBE.NS,UNKNOWN
GANESHCP.NS,UNKNOWN
GANESHHOU.NS,UNKNOWN
GANGAFORGE.NS,UNKNOWN
GANGESSECU.NS,UNKNOWN
GARFIBRES.NS,UNKNOWN
GARUDA.NS,UNKNOWN
GATECH.NS,UNKNOWN
GATECHDVR.NS,UNKNOWN
GATEWAY.NS,UNKNOWN
GAYAHWS.NS,UNKNOWN
GCSL.NS,UNKNOWN
GEECEE.NS,UNKNOWN
GEEKAYWIRE.NS,UNKNOWN
GEMAROMA.NS,UNKNOWN
GENCON.NS,UNKNOWN
GENESYS.NS,UNKNOWN
GENSOL.NS,UNKNOWN
